twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,655696,111.1,,111.7,,2017-09-01,,0.48,0,2,2017-11-24T13:06:15-06:00,0,111.22,1.63,2017-01-03,2017-11-24T12:59:58-06:00,0,56.84,111.83,110.91,1.8,,AVY,,111.63,BATS,2017-11-21,0,0,2017-11-22,69.53,,88040,0,0,.,100,10436,633441,Avery Dennison Corp,,i,N,111.1,0.53
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,655696,111.1,,111.7,,2017-09-01,,0.48,0,2,2017-11-24T13:06:15-06:00,0,111.22,1.63,2017-01-03,2017-11-24T12:59:58-06:00,0,56.84,111.83,110.91,1.8,,AVY,,111.63,BATS,2017-11-21,0,0,2017-11-22,69.53,,88040,0,0,.,100,10436,633441,Avery Dennison Corp,,i,N,111.1,0.53
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,2315826,76.22,,76.3,,2017-11-02,,-0.43,0,2,2017-11-24T13:16:57-06:00,0,76.3,3.15,2016-11-29,2017-11-24T12:59:49-06:00,0,14.18,82.34,75.86,2.4,,ETN,,75.89,BATS,2017-11-01,0,0,2017-11-22,65.35,,440600,0,0,.,8,35240,2443526,Eaton Corp,,i,N,76.22,-0.33
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,2315826,76.22,,76.3,,2017-11-02,,-0.43,0,2,2017-11-24T13:16:57-06:00,0,76.3,3.15,2016-11-29,2017-11-24T12:59:49-06:00,0,14.18,82.34,75.86,2.4,,ETN,,75.89,BATS,2017-11-01,0,0,2017-11-22,65.35,,440600,0,0,.,8,35240,2443526,Eaton Corp,,i,N,76.22,-0.33
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,3500394,117.86,,118.73,,2017-08-29,,0.3,0,2,2017-11-24T13:54:22-06:00,0,118.33,2.07,2016-11-29,2017-11-24T12:59:50-06:00,0,16.63,119.71,117.8,2.42,,UNP,,118.21,BATS,2017-10-27,0,0,2017-11-22,100.1,,787170,0,0,.,16,81802,2753302,Union Pacific Corp,,i,N,117.86,0.35
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,3106022,53.89,,54.08,,2017-09-28,,0.32,0,2,2017-11-24T13:40:45-06:00,0,53.99,3.95,2017-10-16,2017-11-24T12:59:59-06:00,0,-7.92,71.57,53.83,2.12,,PCG,,54.06,BATS,2017-09-11,0,0,2017-11-22,49.83,,514420,0,0,.,100,97168,5424600,Pacific Gas & Electric Co,,i,N,53.89,0.17
2016-11-23,4975953,27.01,,27.44,,2017-08-30,,1.22,0,2,2017-11-24T13:29:49-06:00,0,27.01,1.48,2017-10-25,2017-11-24T12:59:58-06:00,0,3.6,30.96,26.91,0.4,,JNPR,,27.34,BATS,2017-05-02,0,0,2017-11-22,23.87,,374930,0,0,.,100,209831,6648998,Juniper Networks,,i,N,27.01,0.33
