twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,522026,441.72,,445.57,,2017-08-21,,0.87,0,2,2017-09-29T10:09:18-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:52:48-05:00,10000,23.55,475.28,440.05,8,,EQIX,,445.57,BATS,2017-09-12,444.3,0,2017-09-28,314.55,,77940,445.6,10000,+,11,2754,575582,Equinix Inc,,i,S,441.72,3.85
2016-09-29,522026,441.72,,445.57,,2017-08-21,,0.87,0,2,2017-09-29T10:09:40-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:52:48-05:00,2200,23.55,475.28,440.05,8,,EQIX,,445.57,BATS,2017-09-12,444.3,0,2017-09-28,314.55,,77940,446.47,10000,+,11,2754,575582,Equinix Inc,,i,S,441.72,3.85
2016-09-29,522026,441.72,,445.57,,2017-08-21,,0.87,0,2,2017-09-29T10:10:42-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:52:48-05:00,10000,23.55,475.28,440.05,8,,EQIX,,445.57,BATS,2017-09-12,444.92,0,2017-09-28,314.55,,77940,445.41,10000,+,11,2754,575582,Equinix Inc,,i,S,441.72,3.85
2016-09-29,522026,441.72,,445.57,,2017-08-21,,0.72,0,2,2017-09-29T10:11:13-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:55:52-05:00,2200,23.55,475.28,440.05,8,,EQIX,,444.92,BATS,2017-09-12,444.3,0,2017-09-28,314.55,,77940,446.22,10000,-,100,2865,575582,Equinix Inc,,i,S,441.72,3.2
2016-09-29,522026,441.72,,445.57,,2017-08-21,,0.78,0,2,2017-09-29T10:11:55-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:56:55-05:00,10000,23.55,475.28,440.05,8,,EQIX,,445.18,BATS,2017-09-12,444.3,0,2017-09-28,314.55,,77940,445.22,10000,+,13,2878,575582,Equinix Inc,,i,S,441.72,3.46
2016-09-29,522026,441.72,,445.57,,2017-08-21,,0.78,0,2,2017-09-29T10:12:09-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:56:55-05:00,2200,23.55,475.28,440.05,8,,EQIX,,445.18,BATS,2017-09-12,444.3,0,2017-09-28,314.55,,77940,446.1,10000,+,13,2878,575582,Equinix Inc,,i,S,441.72,3.46
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.78,0,2,2017-09-29T10:12:09-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:56:55-05:00,2200,23.36,475.28,440.05,8,,EQIX,,445.18,BATS,2017-09-12,444.3,0,2017-09-28,314.55,,77940,446.1,10000,+,13,2878,575852,Equinix Inc,,i,S,441.72,3.46
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.78,0,2,2017-09-29T10:13:37-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:56:55-05:00,10000,23.36,475.28,440.05,8,,EQIX,,445.18,BATS,2017-09-12,444.53,0,2017-09-28,314.55,,77940,444.84,1500,+,13,2878,575852,Equinix Inc,,i,S,441.72,3.46
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.69,0,2,2017-09-29T10:14:18-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:59:18-05:00,8500,23.36,475.28,440.05,8,,EQIX,,444.76,BATS,2017-09-12,443.53,0,2017-09-28,314.55,,77940,444.76,10000,+,15,2921,575852,Equinix Inc,,i,S,441.72,3.04
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.69,0,2,2017-09-29T10:14:35-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:59:18-05:00,2200,23.36,475.28,440.05,8,,EQIX,,444.76,BATS,2017-09-12,443.53,0,2017-09-28,314.55,,77940,445.97,10000,+,15,2921,575852,Equinix Inc,,i,S,441.72,3.04
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.69,0,2,2017-09-29T10:15:22-05:00,0,441.53,1.83,2016-11-14,2017-09-29T10:59:18-05:00,10000,23.36,475.28,440.05,8,,EQIX,,444.76,BATS,2017-09-12,444.39,0,2017-09-28,314.55,,77940,445.5,1200,+,15,2921,575852,Equinix Inc,,i,S,441.72,3.04
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.5,0,2,2017-09-29T10:16:01-05:00,0,441.53,1.83,2016-11-14,2017-09-29T11:01:00-05:00,10000,23.36,475.28,440.05,8,,EQIX,,443.91,BATS,2017-09-12,443.53,0,2017-09-28,314.55,,77940,444.15,10000,-,100,3033,575852,Equinix Inc,,i,S,441.72,2.19
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.5,0,2,2017-09-29T10:16:13-05:00,0,441.53,1.83,2016-11-14,2017-09-29T11:01:00-05:00,20000,23.36,475.28,440.05,8,,EQIX,,443.91,BATS,2017-09-12,443.53,0,2017-09-28,314.55,,77940,445,10000,-,100,3033,575852,Equinix Inc,,i,S,441.72,2.19
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.5,0,2,2017-09-29T10:17:03-05:00,0,441.53,1.83,2016-11-14,2017-09-29T11:01:00-05:00,10000,23.36,475.28,440.05,8,,EQIX,,443.91,BATS,2017-09-12,443.53,0,2017-09-28,314.55,,77940,444.23,10000,-,100,3033,575852,Equinix Inc,,i,S,441.72,2.19
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.57,0,2,2017-09-29T10:17:36-05:00,0,441.53,1.83,2016-11-14,2017-09-29T11:02:10-05:00,10000,23.36,475.28,440.05,8,,EQIX,,444.22,BATS,2017-09-12,443.53,0,2017-09-28,314.55,,77940,444.18,10000,.,12,3062,575852,Equinix Inc,,i,S,441.72,2.5
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.57,0,2,2017-09-29T10:18:10-05:00,0,441.53,1.83,2016-11-14,2017-09-29T11:02:10-05:00,20000,23.36,475.28,440.05,8,,EQIX,,444.22,BATS,2017-09-12,443.53,0,2017-09-28,314.55,,77940,445.5,10000,.,12,3062,575852,Equinix Inc,,i,S,441.72,2.5
2016-09-29,522055,441.72,,445.57,,2017-08-21,,0.57,0,2,2017-09-29T10:18:10-05:00,0,441.53,1.83,2016-11-14,2017-09-29T11:02:10-05:00,20000,23.36,475.28,440.05,8,,EQIX,,444.22,BATS,2017-09-12,443.53,0,2017-09-28,314.55,,77940,445.5,10000,.,12,3062,575852,Equinix Inc,,i,S,441.72,2.5
